flag,cst_unn_id,bas_inf,act,zx
1,36376471,25,25,70
1,37865900,5,-3,-30
1,42211299,8,30,70
1,37165349,0,3,-45
1,34282524,20,12,80
1,33599257,10,-3,75
1,37086165,6,10,-45
1,32183817,15,7,100
1,35928930,5,2,75
1,37849054,8,-3,5
1,38917091,-9,2,5
1,34220921,10,30,25
1,36879658,10,12,5
1,34088100,10,2,-15
1,35727299,10,-3,65
1,32939761,10,22,100
1,39288907,35,15,-80
1,32594860,-2,17,110
1,33744479,8,17,110
1,36667581,10,-15,-10
1,37631927,6,2,0
1,32844969,10,20,55
1,34398603,0,20,35
1,43817883,10,-10,-45
1,35847597,15,25,30
1,40654040,8,5,-35
1,37591166,8,-3,-40
1,34571446,20,25,15
1,34486073,8,10,35
1,37361633,12,-10,-25
1,37008789,11,10,40
1,37245740,6,18,25
1,41404658,1,-20,-5
1,36503428,16,10,40
1,35920400,10,13,15
1,32283213,23,15,-55
1,32940510,8,7,110
1,33580455,8,22,115
1,37831022,12,12,105
1,43834100,7,10,-85
1,37232686,22,0,-5
1,40468626,30,5,55
1,31128873,10,-3,5
1,34038743,0,0,-5
1,32893263,10,-3,85
1,37478629,13,12,120
1,40729032,15,-5,-40
1,38109726,5,-15,-20
1,30669672,12,7,55
1,43707092,10,0,-65
1,39132466,12,10,-65
1,43709733,10,10,-70
1,37660370,30,22,65
1,34201512,10,7,95
1,34123717,10,0,40
1,39264473,17,17,-85
1,33695907,41,17,90
1,35848242,3,10,25
1,33688853,10,7,80
1,36094181,0,-5,-50
1,35572330,5,15,-70
1,32369219,25,7,0
1,38479166,7,7,10
1,33970475,5,15,-70
1,35166009,10,10,90
1,35618717,20,22,120
1,34340679,15,17,90
1,35802910,10,-3,20
1,38952322,13,25,50
1,36334629,15,10,105
1,32939581,9,-3,5
1,31571724,8,22,75
1,36524358,10,7,25
1,34355125,8,25,35
1,34222203,17,30,-15
1,35696439,1,5,40
1,33743340,8,10,10
1,34270585,8,7,85
1,39580447,10,7,-35
1,35540929,10,0,-40
1,34121990,-3,0,40
1,36384474,8,10,-15
1,38398123,6,22,-15
1,37227531,8,22,25
1,37148945,15,5,-75
1,39269496,15,10,-10
1,37965757,1,22,120
1,33827009,15,12,30
1,34655071,10,12,80
1,34256239,20,-3,85
1,35929201,12,10,-50
1,34024518,10,28,-90
1,30702695,10,27,110
1,30887446,5,7,40
1,31976336,0,-3,80
1,42035470,15,12,60
1,40437825,15,-3,-10
1,40460020,10,22,80
1,37845243,15,7,30
1,33623482,15,22,-60
1,30620998,20,15,35
1,37827211,33,15,-45
1,38979154,10,2,85
1,39099016,10,5,110
1,38551763,15,10,30
1,35635419,10,7,15
1,36260406,7,-5,-15
1,40939183,12,12,-95
1,34989946,12,12,105
1,39557988,6,-3,110
1,32010673,20,2,35
1,35836547,10,25,-65
1,37270743,0,-10,-75
1,37343774,20,7,110
1,41426306,15,8,-115
1,42128813,15,10,-40
1,40092106,12,25,5
1,38587397,15,12,-10
1,43761214,3,15,-40
1,39494945,12,13,-65
1,40914283,5,17,95
1,31975396,20,-10,-70
1,41522619,15,25,-35
1,41203479,5,5,-50
1,43761258,10,23,-15
1,34318095,33,12,35
1,35186893,12,7,-5
1,37722118,41,15,-35
1,35773097,0,-3,105
1,34004139,10,7,10
1,35090786,25,3,-35
1,36096951,13,5,30
1,35709777,10,20,20
1,39438368,35,0,-95
1,35930043,15,7,0
1,41613028,6,20,-5
1,40952818,13,-10,-35
1,39221524,25,15,10
1,38952429,15,0,10
1,36679002,8,15,20
1,37625796,10,12,90
1,36397780,10,17,85
1,43139328,10,0,-30
1,39682490,25,23,-25
1,30722925,17,5,-60
1,34356195,15,-3,-110
1,42050660,6,2,100
1,37747688,20,5,20
1,43151864,5,0,-5
1,32894067,8,7,35
1,30836597,10,2,120
1,43775748,5,-10,30
1,33610511,15,5,-75
1,37417307,5,10,5
1,40175288,15,2,20
1,36094175,10,13,-5
1,36094013,10,17,-20
1,35974627,15,12,120
1,35782117,10,12,5
1,36350917,15,7,-5
1,37639420,10,12,100
1,35844703,10,10,-65
1,37838906,10,-8,-35
1,35583721,20,-8,35
1,32942017,13,-10,-45
1,33527231,10,2,80
1,38427675,10,23,-85
1,30299453,8,12,35
1,39048659,50,10,-75
1,37824904,13,2,115
1,39323131,10,12,100
1,33435595,13,2,70
1,37402577,13,12,115
1,35304791,15,15,40
1,35463366,15,15,-50
1,38597192,10,10,65
1,41237863,13,3,-5
1,40885649,8,2,35
1,32964999,20,10,-25
1,37022906,5,3,-75
1,34205531,10,17,0
1,30225456,10,12,115
1,35811357,10,17,70
1,42252808,5,-10,-65
1,39419138,40,12,55
1,34816819,20,0,-50
1,41323336,10,10,35
1,35021798,17,20,30
1,32936130,10,10,-70
1,41505749,1,10,-30
1,37058662,10,5,-10
1,36928692,8,22,40
1,37373594,12,5,-10
1,34263631,7,0,10
